year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2018,10,43,NL211,66,16.62289810180664,7.442962169647217,12.035294532775879,1.263431429862976,0
2018,10,43,NL212,18,16.83934211730957,7.132468223571777,11.99672794342041,1.0825499296188354,0
2018,10,43,NL213,88,17.017147064208984,6.926329135894775,11.970104217529297,0.9725248217582703,0
2018,10,43,NL221,103,16.802064895629883,7.554612159729004,12.186259269714355,1.0925878286361694,0
2018,10,43,NL224,33,17.310054779052734,7.436389923095703,12.39362907409668,1.0675771236419678,0
2018,10,43,NL225,77,17.16817855834961,7.132126808166504,12.149011611938477,0.9419125914573669,0
2018,10,43,NL226,126,17.241657257080078,7.538590431213379,12.401558876037598,0.949209451675415,0
2018,10,43,NL230,46,16.486446380615234,7.914259433746338,12.19533634185791,1.2298325300216675,0
2018,10,43,NL310,171,16.807653427124023,7.93710470199585,12.390363693237305,1.125915288925171,0
2018,10,43,NL321,52,16.0008487701416,9.012073516845703,12.519279479980469,1.34807288646698,0
2018,10,43,NL323,31,16.274192810058594,8.925806045532227,12.612903594970703,1.6322580575942993,0
2018,10,43,NL324,34,16.41733169555664,8.832366943359375,12.635997772216797,1.5352182388305664,0
2018,10,43,NL325,20,16.27492332458496,8.91120433807373,12.60472583770752,1.6239346265792847,0
2018,10,43,NL327,44,16.639957427978516,8.177447319030762,12.420563697814941,1.2654887437820435,0
2018,10,43,NL328,46,16.15172004699707,9.162211418151855,12.658933639526367,1.5157392024993896,0
2018,10,43,NL329,179,16.448169708251953,8.748430252075195,12.605910301208496,1.3630954027175903,0
2018,10,43,NL332,120,16.67159080505371,8.492019653320312,12.569785118103027,1.732854962348938,0
2018,10,43,NL333,23,16.769901275634766,9.127318382263184,12.932705879211426,1.6852118968963623,0
2018,10,43,NL337,69,16.502342224121094,8.467268943786621,12.475985527038574,1.8260747194290161,0
2018,10,43,NL33A,69,17.1639347076416,7.973539352416992,12.585200309753418,1.5514436960220337,0
2018,10,43,NL33B,43,16.81538963317871,8.555854797363281,12.69316291809082,1.2943803071975708,0
2018,10,43,NL33C,219,16.887882232666016,8.851054191589355,12.866122245788574,1.661575198173523,0
2018,10,43,NL341,21,17.095165252685547,9.521910667419434,13.30600643157959,1.7974059581756592,0
2018,10,43,NL342,47,16.940778732299805,9.92302417755127,13.43105697631836,1.487168788909912,0
2018,10,43,NL411,101,17.371562957763672,8.147527694702148,12.75210952758789,1.6342121362686157,0
2018,10,43,NL412,83,17.529254913330078,7.691651821136475,12.60661506652832,1.2336816787719727,0
2018,10,43,NL413,115,17.613849639892578,7.626174449920654,12.625545501708984,1.1011775732040405,0
2018,10,43,NL414,122,17.689102172851562,7.3745317459106445,12.534605979919434,1.0529361963272095,0
2018,10,43,NL421,45,17.61190414428711,7.401371479034424,12.517107963562012,0.7726221084594727,0
2018,10,43,NL422,49,17.68143081665039,6.969694137573242,12.34878921508789,0.8823872804641724,0
2018,10,43,NL423,107,17.168363571166992,8.215715408325195,12.69498348236084,1.1617313623428345,0
2018,10,44,NL112,12,16.488304138183594,8.140949249267578,12.324707984924316,1.0668280124664307,0
